"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","7,368.17","7,328.92","7,368.17","7,323.31","792.27M","0.54%"
"Apr 19, 2018","7,328.92","7,317.34","7,340.73","7,309.42","811.86M","0.16%"
"Apr 18, 2018","7,317.34","7,226.05","7,325.59","7,226.05","904.18M","1.26%"
"Apr 17, 2018","7,226.05","7,198.20","7,240.41","7,189.85","735.88M","0.39%"
"Apr 16, 2018","7,198.20","7,264.56","7,265.83","7,195.46","889.30M","-0.91%"
"Apr 13, 2018","7,264.56","7,258.34","7,274.99","7,249.07","677.12M","0.09%"
"Apr 12, 2018","7,258.34","7,257.14","7,266.64","7,240.76","687.15M","0.02%"
"Apr 11, 2018","7,257.14","7,266.75","7,270.28","7,243.32","789.65M","-0.13%"
"Apr 10, 2018","7,266.75","7,194.75","7,266.75","7,194.75","778.17M","1.00%"
"Apr 09, 2018","7,194.75","7,183.64","7,209.68","7,145.57","691.58M","0.15%"
"Apr 06, 2018","7,183.64","7,199.50","7,214.02","7,163.11","676.29M","-0.22%"
"Apr 05, 2018","7,199.50","7,034.01","7,199.50","7,034.01","819.22M","2.35%"
"Apr 04, 2018","7,034.01","7,030.46","7,046.26","6,971.75","818.65M","0.05%"
"Apr 03, 2018","7,030.46","7,056.61","7,064.98","6,996.76","814.72M","-0.37%"
"Mar 29, 2018","7,056.61","7,044.74","7,109.93","7,042.73","900.25M","0.17%"
"Mar 28, 2018","7,044.74","7,000.14","7,044.74","6,923.33","785.93M","0.64%"
"Mar 27, 2018","7,000.14","6,888.69","7,042.37","6,888.69","712.08M","1.62%"
"Mar 26, 2018","6,888.69","6,921.94","6,958.47","6,866.94","788.73M","-0.48%"
"Mar 23, 2018","6,921.94","6,952.59","6,952.82","6,876.96","906.20M","-0.44%"
"Mar 22, 2018","6,952.59","7,038.97","7,038.97","6,914.45","887.62M","-1.23%"
"Mar 21, 2018","7,038.97","7,061.27","7,065.66","7,016.79","785.55M","-0.32%"
"Mar 20, 2018","7,061.27","7,042.93","7,081.50","7,042.60","764.83M","0.26%"
"Mar 19, 2018","7,042.93","7,164.14","7,164.19","7,034.91","750.73M","-1.69%"
"Mar 16, 2018","7,164.14","7,139.76","7,187.27","7,131.31","1.42B","0.34%"
"Mar 15, 2018","7,139.76","7,132.69","7,162.58","7,127.08","833.05M","0.10%"
"Mar 14, 2018","7,132.69","7,138.78","7,176.51","7,122.76","775.44M","-0.09%"
"Mar 13, 2018","7,138.78","7,214.76","7,224.13","7,125.60","790.45M","-1.05%"
"Mar 12, 2018","7,214.76","7,224.51","7,254.87","7,198.18","631.27M","-0.13%"
"Mar 09, 2018","7,224.51","7,203.24","7,225.28","7,189.74","671.26M","0.30%"
"Mar 08, 2018","7,203.24","7,157.84","7,212.14","7,145.70","734.71M","0.63%"
"Mar 07, 2018","7,157.84","7,146.75","7,180.71","7,109.56","889.06M","0.16%"
"Mar 06, 2018","7,146.75","7,115.98","7,197.80","7,115.60","810.45M","0.43%"
"Mar 05, 2018","7,115.98","7,069.90","7,119.21","7,062.13","956.92M","0.65%"
"Mar 02, 2018","7,069.90","7,175.64","7,175.64","7,063.42","938.59M","-1.47%"
"Mar 01, 2018","7,175.64","7,231.91","7,231.91","7,153.39","886.34M","-0.78%"
"Feb 28, 2018","7,231.91","7,282.45","7,293.36","7,231.91","948.41M","-0.69%"
"Feb 27, 2018","7,282.45","7,289.58","7,326.02","7,272.87","740.36M","-0.10%"
"Feb 26, 2018","7,289.58","7,244.41","7,312.98","7,244.31","603.89M","0.62%"
"Feb 23, 2018","7,244.41","7,252.39","7,262.05","7,220.81","695.74M","-0.11%"
"Feb 22, 2018","7,252.39","7,281.57","7,281.57","7,187.76","952.98M","-0.40%"
"Feb 21, 2018","7,281.57","7,246.77","7,291.80","7,220.55","930.80M","0.48%"
"Feb 20, 2018","7,246.77","7,247.66","7,264.78","7,202.14","699.56M","-0.01%"
"Feb 19, 2018","7,247.66","7,294.70","7,306.21","7,239.98","520.05M","-0.64%"
"Feb 16, 2018","7,294.70","7,234.81","7,307.97","7,234.81","671.91M","0.83%"
"Feb 15, 2018","7,234.81","7,213.97","7,267.96","7,206.69","770.03M","0.29%"
"Feb 14, 2018","7,213.97","7,168.01","7,243.15","7,145.73","969.40M","0.64%"
"Feb 13, 2018","7,168.01","7,177.06","7,202.99","7,165.83","740.99M","-0.13%"
"Feb 12, 2018","7,177.06","7,092.43","7,199.93","7,092.43","737.67M","1.19%"
"Feb 09, 2018","7,092.43","7,170.69","7,170.69","7,073.03","955.73M","-1.09%"
"Feb 08, 2018","7,170.69","7,279.42","7,279.42","7,161.31","1.00B","-1.49%"
"Feb 07, 2018","7,279.42","7,141.40","7,311.50","7,141.40","1.06B","1.93%"
"Feb 06, 2018","7,141.40","7,334.98","7,334.98","7,079.41","1.40B","-2.64%"
"Feb 05, 2018","7,334.98","7,443.43","7,443.43","7,334.79","916.49M","-1.46%"
"Feb 02, 2018","7,443.43","7,490.39","7,494.76","7,432.25","898.53M","-0.63%"
"Feb 01, 2018","7,490.39","7,533.55","7,554.73","7,476.51","899.49M","-0.57%"
"Jan 31, 2018","7,533.55","7,587.98","7,599.01","7,521.77","907.20M","-0.72%"
"Jan 30, 2018","7,587.98","7,671.53","7,671.67","7,587.12","823.71M","-1.09%"
"Jan 29, 2018","7,671.53","7,665.54","7,689.15","7,663.93","631.88M","0.08%"
"Jan 26, 2018","7,665.54","7,615.84","7,667.40","7,615.84","735.67M","0.65%"
"Jan 25, 2018","7,615.84","7,643.43","7,662.35","7,608.53","735.31M","-0.36%"
