,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,0.1,0.01,0.0,REGULAR,AMZN180921P00480000,USD,1537488000,0.773439765625,False,0.07,1528401017,468,0.0,480.0,2
1,0.66,0.0,-0.65999997,REGULAR,AMZN180921P00490000,USD,1537488000,0.8886729882812499,False,0.15,1524854344,113,-81.481476,490.0,1
2,0.69,0.0,0.0,REGULAR,AMZN180921P00500000,USD,1537488000,0.8789074609374999,False,0.3,1525884048,125,0.0,500.0,1
3,0.96,0.0,0.0,REGULAR,AMZN180921P00520000,USD,1537488000,0.8808605664062499,False,0.23,1523468798,175,0.0,520.0,1
4,0.57,0.0,0.0,REGULAR,AMZN180921P00540000,USD,1537488000,0.8110370458984374,False,0.09,1525890142,217,0.0,540.0,10
5,0.23,0.0,-0.53,REGULAR,AMZN180921P00560000,USD,1537488000,0.7246121289062499,False,0.1,1527875381,58,-84.126976,560.0,5
6,0.1,0.0,0.05,REGULAR,AMZN180921P00580000,USD,1537488000,0.65820654296875,False,0.1,1529348971,100,100.0,580.0,18
7,0.18,0.05,0.0,REGULAR,AMZN180921P00600000,USD,1537488000,0.6826203613281252,False,0.05,1529001247,447,0.0,600.0,1
8,0.18,0.0,0.0,REGULAR,AMZN180921P00620000,USD,1537488000,0.648441015625,False,0.15,1527604186,1031,0.0,620.0,5
9,0.58,0.0,0.049999997,REGULAR,AMZN180921P00640000,USD,1537488000,0.6982452050781252,False,0.25,1525448082,39,24.999998,640.0,1
10,0.2,0.0,-2.04,REGULAR,AMZN180921P00650000,USD,1537488000,0.6250037500000001,False,0.22,1526662984,185,-90.26548,650.0,1
11,0.18,0.09,0.0,REGULAR,AMZN180921P00660000,USD,1537488000,0.631839619140625,False,0.2,1527606758,142,0.0,660.0,21
12,0.76,0.0,0.00999999,REGULAR,AMZN180921P00670000,USD,1537488000,0.68555001953125,False,0.7,1520628954,107,1.449274,670.0,10
13,0.79,0.0,0.0,REGULAR,AMZN180921P00680000,USD,1537488000,0.6782258740234376,False,2.75,1522694407,120,0.0,680.0,6
14,2.25,1.32,0.1500001,REGULAR,AMZN180921P00690000,USD,1537488000,0.7963887548828125,False,2.2,1522861294,175,7.317078,690.0,24
15,0.24,0.1,-0.030000001,REGULAR,AMZN180921P00700000,USD,1537488000,0.6069375244140626,False,0.2,1527874420,274,-13.043478,700.0,10
16,1.88,1.03,-0.75,REGULAR,AMZN180921P00710000,USD,1537488000,0.752932158203125,False,1.5,1519655412,28,-33.333336,710.0,2
17,0.87,0.04,0.0,REGULAR,AMZN180921P00720000,USD,1537488000,0.6481968774414062,False,1.25,1524757694,51,0.0,720.0,1
18,1.86,0.59,-0.76999986,REGULAR,AMZN180921P00730000,USD,1537488000,0.7152128088378906,False,1.35,1523632699,54,-36.320747,730.0,1
19,0.85,0.14,0.0,REGULAR,AMZN180921P00740000,USD,1537488000,0.6347692773437501,False,1.14,1524495706,26,0.0,740.0,2
20,0.37,0.0,0.0,REGULAR,AMZN180921P00750000,USD,1537488000,0.567387138671875,False,0.26,1528207178,432,0.0,750.0,3
21,0.76,0.0,0.0,REGULAR,AMZN180921P00760000,USD,1537488000,0.5991251025390626,False,0.47,1525977157,150,0.0,760.0,2
22,3.55,2.73,0.0,REGULAR,AMZN180921P00770000,USD,1537488000,0.7670311383056643,False,4.0,1522779085,103,0.0,770.0,37
23,0.42,0.0,0.0,REGULAR,AMZN180921P00780000,USD,1537488000,0.5483443603515626,False,0.24,1528138595,4067,0.0,780.0,6
24,0.44,0.0,0.0,REGULAR,AMZN180921P00790000,USD,1537488000,0.5424850439453126,False,0.27,1528138166,178,0.0,790.0,26
25,0.3,0.15,0.0,REGULAR,AMZN180921P00800000,USD,1537488000,0.5356491748046875,False,0.27,1528742182,3457,0.0,800.0,6
26,1.13,0.37,0.0,REGULAR,AMZN180921P00810000,USD,1537488000,0.5983926879882813,False,0.99,1525100512,82,0.0,810.0,1
27,0.36,0.0,-0.07000001,REGULAR,AMZN180921P00820000,USD,1537488000,0.508793974609375,False,0.23,1528905167,208,-23.333336,820.0,8
28,0.55,0.0,0.0,REGULAR,AMZN180921P00830000,USD,1537488000,0.5214891601562499,False,0.35,1528140908,161,0.0,830.0,10
29,0.57,0.0,0.0,REGULAR,AMZN180921P00840000,USD,1537488000,0.5151415673828125,False,0.33,1528138595,407,0.0,840.0,4
30,0.51,0.21,-0.050000012,REGULAR,AMZN180921P00850000,USD,1537488000,0.5195360546875,False,0.35,1529330029,557,-12.500003,850.0,1
31,0.79,0.11,-0.36,REGULAR,AMZN180921P00860000,USD,1537488000,0.5236864038085938,False,0.45,1528485135,153,-44.444447,860.0,1
32,6.25,5.45,0.0,REGULAR,AMZN180921P00865000,USD,1537488000,0.7379176599121093,False,9.15,1522766544,96,0.0,865.0,3
33,0.67,0.0,0.0,REGULAR,AMZN180921P00870000,USD,1537488000,0.500005,False,0.5,1528305113,266,0.0,870.0,40
34,0.7,0.25,0.0,REGULAR,AMZN180921P00880000,USD,1537488000,0.5105029418945313,False,0.26,1529002329,456,0.0,880.0,4
35,0.73,0.01,0.030000001,REGULAR,AMZN180921P00900000,USD,1537488000,0.5192919165039063,False,0.38,1529092709,657,8.571429,900.0,1
36,0.68,0.23,0.049999982,REGULAR,AMZN180921P00920000,USD,1537488000,0.499028447265625,False,0.51,1528898816,258,10.869561,920.0,2
37,0.71,0.34,0.0,REGULAR,AMZN180921P00940000,USD,1537488000,0.4857229162597656,False,0.71,1528135063,519,0.0,940.0,1
38,0.98,0.46,0.0,REGULAR,AMZN180921P00960000,USD,1537488000,0.48901878173828134,False,0.66,1528227444,1910,0.0,960.0,4
39,0.9,0.53,-0.03999996,REGULAR,AMZN180921P00980000,USD,1537488000,0.4683891052246094,False,0.66,1529340353,1800,-5.7142806,980.0,1
40,0.89,0.62,-0.00999999,REGULAR,AMZN180921P01000000,USD,1537488000,0.45252012329101565,False,0.8,1529345230,944,-1.2345667,1000.0,2
41,1.06,0.48,0.0,REGULAR,AMZN180921P01020000,USD,1537488000,0.44739322143554683,False,0.79,1529002165,259,0.0,1020.0,1
42,1.12,0.84,-0.110000014,REGULAR,AMZN180921P01040000,USD,1537488000,0.43555251953125,False,0.99,1529340353,206,-10.000001,1040.0,1
43,1.3,0.86,-0.049999952,REGULAR,AMZN180921P01060000,USD,1537488000,0.4292049267578125,False,1.1,1529073378,389,-4.347822,1060.0,1
44,1.52,1.1,0.0,REGULAR,AMZN180921P01080000,USD,1537488000,0.4234676794433594,False,1.19,1529002165,373,0.0,1080.0,1
45,1.45,1.21,-0.03999996,REGULAR,AMZN180921P01100000,USD,1537488000,0.40601179931640624,False,1.25,1529329338,338,-3.1007724,1100.0,1
46,1.64,1.29,-0.110000014,REGULAR,AMZN180921P01120000,USD,1537488000,0.398443515625,False,1.59,1528902210,308,-6.4705887,1120.0,2
47,1.83,1.54,-0.24999988,REGULAR,AMZN180921P01140000,USD,1537488000,0.390203851928711,False,1.85,1528896852,208,-11.904757,1140.0,5
48,1.99,1.38,0.0,REGULAR,AMZN180921P01160000,USD,1537488000,0.38056039367675776,False,1.78,1529005686,318,0.0,1160.0,5
49,2.11,1.86,0.100000024,REGULAR,AMZN180921P01180000,USD,1537488000,0.3695131408691406,False,2.0,1529351406,378,5.2631593,1180.0,2
50,2.41,2.14,-0.10000014,REGULAR,AMZN180921P01200000,USD,1537488000,0.3627993408203125,False,2.3,1529338474,1753,-4.166672,1200.0,2
51,3.05,2.39,-0.97,REGULAR,AMZN180921P01220000,USD,1537488000,0.36237209899902345,False,2.58,1529070765,301,-27.323944,1220.0,1
52,3.35,2.52,0.0,REGULAR,AMZN180921P01240000,USD,1537488000,0.35352208984374994,False,3.0,1529003468,496,0.0,1240.0,2
53,3.6,3.15,-0.6500001,REGULAR,AMZN180921P01260000,USD,1537488000,0.3433293206787109,False,3.5,1529349397,197,-15.662652,1260.0,10
54,4.0,3.65,-0.49,REGULAR,AMZN180921P01280000,USD,1537488000,0.3352422433471679,False,3.84,1529350572,467,-11.316398,1280.0,12
55,4.5,4.3,0.01999998,REGULAR,AMZN180921P01300000,USD,1537488000,0.32794861511230466,False,4.67,1529330979,1146,0.43010712,1300.0,3
56,5.3,4.9,-0.23999977,REGULAR,AMZN180921P01320000,USD,1537488000,0.32367619689941396,False,5.21,1529351559,180,-4.4036655,1320.0,55
57,6.2,5.65,-0.06000042,REGULAR,AMZN180921P01340000,USD,1537488000,0.31915964050292955,False,5.99,1529344532,381,-0.99174243,1340.0,1
58,6.9,6.6,1.3000002,REGULAR,AMZN180921P01350000,USD,1537488000,0.3189917955017089,False,7.77,1529417290,515,20.09274,1350.0,1
59,7.85,6.4,0.0,REGULAR,AMZN180921P01360000,USD,1537488000,0.3206092109680175,False,7.05,1528996499,447,0.0,1360.0,2
60,8.0,7.7,0.3899994,REGULAR,AMZN180921P01370000,USD,1537488000,0.3142005836486816,False,8.23,1529416627,92,4.974482,1370.0,1
61,8.15,7.75,-0.52000046,REGULAR,AMZN180921P01380000,USD,1537488000,0.30776143905639647,False,8.0,1529336930,472,-6.1032915,1380.0,11
62,9.2,8.95,1.0700006,REGULAR,AMZN180921P01390000,USD,1537488000,0.30895161270141597,False,9.81,1529427876,392,12.242571,1390.0,1
63,9.45,9.0,-0.3800001,REGULAR,AMZN180921P01400000,USD,1537488000,0.3030617790222168,False,9.4,1529345708,1135,-3.8854818,1400.0,56
64,11.2,9.55,-4.5,REGULAR,AMZN180921P01410000,USD,1537488000,0.30846333633422846,False,10.3,1529081255,263,-30.405405,1410.0,2
65,10.95,10.4,-0.07999992,REGULAR,AMZN180921P01420000,USD,1537488000,0.29849944671630857,False,10.75,1529345858,511,-0.7386881,1420.0,4
66,12.4,12.05,1.5900002,REGULAR,AMZN180921P01430000,USD,1537488000,0.30048306945800785,False,13.34,1529424784,242,13.531916,1430.0,10
67,12.7,12.2,-0.77000046,REGULAR,AMZN180921P01440000,USD,1537488000,0.2942117698669433,False,12.33,1529335374,455,-5.877866,1440.0,20
68,14.25,13.9,0.4499998,REGULAR,AMZN180921P01450000,USD,1537488000,0.29571474555969235,False,14.15,1529432532,503,3.28467,1450.0,8
69,14.75,14.2,-0.94000053,REGULAR,AMZN180921P01460000,USD,1537488000,0.2902750416564941,False,14.57,1529343890,336,-6.06061,1460.0,7
70,17.3,15.55,0.0,REGULAR,AMZN180921P01470000,USD,1537488000,0.29627931510925287,False,15.98,1529004288,171,0.0,1470.0,1
71,17.0,16.5,-0.14999962,REGULAR,AMZN180921P01480000,USD,1537488000,0.2859110716247558,False,17.02,1529337728,217,-0.87361455,1480.0,3
72,19.3,18.9,0.94999886,REGULAR,AMZN180921P01490000,USD,1537488000,0.28923745437622067,False,20.05,1529421952,95,4.973816,1490.0,10
73,19.7,19.25,-1.0499992,REGULAR,AMZN180921P01500000,USD,1537488000,0.28232529205322265,False,19.68,1529345887,895,-5.0651193,1500.0,34
74,22.1,21.6,0.0,REGULAR,AMZN180921P01510000,USD,1537488000,0.2848963722991943,False,21.3,1529336099,137,0.0,1510.0,2
75,22.75,22.3,-0.95000076,REGULAR,AMZN180921P01520000,USD,1537488000,0.27871662452697754,False,22.8,1529346512,182,-4.0000033,1520.0,7
76,25.65,25.1,0.0,REGULAR,AMZN180921P01530000,USD,1537488000,0.2823176627349854,False,24.6,1529345613,268,0.0,1530.0,3
77,28.45,26.75,1.1300011,REGULAR,AMZN180921P01540000,USD,1537488000,0.2846293461608886,False,27.2,1529071110,178,4.334488,1540.0,4
78,29.35,28.85,2.8999996,REGULAR,AMZN180921P01550000,USD,1537488000,0.27857166748046874,False,31.3,1529429717,471,10.2112665,1550.0,21
79,30.25,29.85,-1.2000008,REGULAR,AMZN180921P01560000,USD,1537488000,0.27233088516235343,False,30.33,1529351297,358,-3.8059015,1560.0,26
80,33.7,33.1,0.0,REGULAR,AMZN180921P01570000,USD,1537488000,0.275649638595581,False,32.6,1529346121,203,0.0,1570.0,20
81,34.8,34.4,-2.1299973,REGULAR,AMZN180921P01580000,USD,1537488000,0.26954618400573727,False,34.65,1529346714,164,-5.7911835,1580.0,26
82,38.35,37.75,2.8999977,REGULAR,AMZN180921P01590000,USD,1537488000,0.2720333417510986,False,40.35,1529423606,192,7.7436523,1590.0,9
83,39.85,39.25,-2.6500015,REGULAR,AMZN180921P01600000,USD,1537488000,0.2667004483032227,False,39.3,1529351503,374,-6.3170476,1600.0,65
84,43.75,43.05,0.0,REGULAR,AMZN180921P01610000,USD,1537488000,0.2692410112762451,False,42.75,1529333864,77,0.0,1610.0,1
85,45.45,44.9,-1.5999985,REGULAR,AMZN180921P01620000,USD,1537488000,0.26383945396423336,False,45.5,1529349945,203,-3.3970244,1620.0,10
86,49.6,49.0,0.10000229,REGULAR,AMZN180921P01630000,USD,1537488000,0.26607484420776367,False,49.45,1529432420,219,0.2026389,1630.0,31
87,54.8,53.0,0.0,REGULAR,AMZN180921P01640000,USD,1537488000,0.2709804958343506,False,53.6,1529083630,183,0.0,1640.0,24
88,56.2,55.65,1.0299988,REGULAR,AMZN180921P01650000,USD,1537488000,0.26341984146118164,False,56.6,1529431808,92,1.853516,1650.0,6
89,58.55,57.9,-2.1500015,REGULAR,AMZN180921P01660000,USD,1537488000,0.2584836725616456,False,58.5,1529343251,123,-3.5449321,1660.0,4
90,62.9,62.2,0.44999695,REGULAR,AMZN180921P01670000,USD,1537488000,0.25917794052124027,False,65.0,1529431046,86,0.69712925,1670.0,2
91,66.15,65.5,-3.209999,REGULAR,AMZN180921P01680000,USD,1537488000,0.2560766226577759,False,65.98,1529342976,170,-4.639397,1680.0,5
92,71.45,70.7,0.3899994,REGULAR,AMZN180921P01690000,USD,1537488000,0.2585218191528321,False,72.59,1529431176,89,0.54016536,1690.0,17
93,73.4,72.95,0.0,REGULAR,AMZN180921P01695000,USD,1537488000,0.25749949050903326,False,74.26,1529432205,11,0.0,1695.0,12
94,74.35,73.5,-3.8199997,REGULAR,AMZN180921P01700000,USD,1537488000,0.2534521371841431,False,74.39,1529348960,1749,-4.8842854,1700.0,27
95,77.55,76.9,0.0,REGULAR,AMZN180921P01705000,USD,1537488000,0.25580578186035163,False,81.75,1529432205,60,0.0,1705.0,4
96,79.75,79.25,5.0200043,REGULAR,AMZN180921P01710000,USD,1537488000,0.2551344018554688,False,84.15,1529421640,178,6.3439965,1710.0,6
97,84.4,83.6,0.58999634,REGULAR,AMZN180921P01720000,USD,1537488000,0.25413877582550054,False,84.5,1529432120,139,0.7031299,1720.0,6
98,89.05,88.1,1.6500015,REGULAR,AMZN180921P01730000,USD,1537488000,0.25264342945098883,True,89.85,1529431511,116,1.8707501,1730.0,10
99,98.0,95.35,0.0,REGULAR,AMZN180921P01740000,USD,1537488000,0.26286671588897714,True,95.09,1529003794,177,0.0,1740.0,8
100,99.1,98.25,9.0,REGULAR,AMZN180921P01750000,USD,1537488000,0.2502859701156616,True,108.0,1529416762,49,9.090909,1750.0,2
101,103.55,102.85,-4.3799973,REGULAR,AMZN180921P01760000,USD,1537488000,0.2467116345214844,True,104.12,1529351527,36,-4.036864,1760.0,2
102,109.85,109.1,6.199997,REGULAR,AMZN180921P01770000,USD,1537488000,0.24790180816650392,True,114.0,1529430633,14,5.7513885,1770.0,1
103,120.2,117.8,-19.399994,REGULAR,AMZN180921P01780000,USD,1537488000,0.2602498597335815,True,119.0,1529090769,47,-14.017338,1780.0,2
104,133.25,132.15,0.0,REGULAR,AMZN180921P01790000,USD,1537488000,0.2800517552185058,True,138.7,1528812546,16,0.0,1790.0,2
105,126.7,125.95,-9.000008,REGULAR,AMZN180921P01800000,USD,1537488000,0.24254984142303465,True,125.35,1529334958,48,-6.698926,1800.0,1
