,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,0.05,0.0,0.0,REGULAR,SPY180921P00055000,USD,1537488000,1.0546922265625,False,0.03,1518114685,299,0.0,55.0,18
1,0.06,0.0,0.0,REGULAR,SPY180921P00060000,USD,1537488000,1.015629921875,False,0.01,1520618396,1103,0.0,60.0,80
2,0.06,0.0,0.0,REGULAR,SPY180921P00065000,USD,1537488000,0.9609378906249999,False,0.01,1520610442,41,0.0,65.0,6
3,0.02,0.0,0.01,REGULAR,SPY180921P00070000,USD,1537488000,0.8281267187499999,False,0.02,1524246504,4242,100.0,70.0,1
4,0.01,0.0,0.0,REGULAR,SPY180921P00075000,USD,1537488000,0.7500025,False,0.02,1521830255,1403,0.0,75.0,1280
5,0.01,0.0,0.0,REGULAR,SPY180921P00080000,USD,1537488000,0.7187528125,False,0.02,1527620663,2714,0.0,80.0,5
6,0.02,0.0,-0.04,REGULAR,SPY180921P00085000,USD,1537488000,0.7187528125,False,0.01,1526068999,2298,-79.99999,85.0,100
7,0.01,0.0,-0.02,REGULAR,SPY180921P00090000,USD,1537488000,0.6562534375000001,False,0.01,1528469077,2494,-66.66667,90.0,4
8,0.01,0.0,0.0,REGULAR,SPY180921P00095000,USD,1537488000,0.6250037500000001,False,0.01,1527182154,1564,0.0,95.0,120
9,0.02,0.01,0.0,REGULAR,SPY180921P00100000,USD,1537488000,0.64062859375,False,0.02,1528811056,8404,0.0,100.0,1
10,0.02,0.01,0.01,REGULAR,SPY180921P00105000,USD,1537488000,0.6132851171875001,False,0.02,1528468527,5582,100.0,105.0,3
11,0.03,0.02,0.0,REGULAR,SPY180921P00120000,USD,1537488000,0.5546919531250001,False,0.02,1528810988,1771,0.0,120.0,55
12,0.04,0.03,0.0,REGULAR,SPY180921P00125000,USD,1537488000,0.5468795312500001,False,0.03,1526910040,1880,0.0,125.0,100
13,0.05,0.03,0.0,REGULAR,SPY180921P00130000,USD,1537488000,0.5273484765625001,False,0.04,1528473836,4756,0.0,130.0,375
14,0.05,0.04,-0.02,REGULAR,SPY180921P00135000,USD,1537488000,0.507817421875,False,0.05,1528473836,2324,-28.571426,135.0,166
15,0.06,0.05,-0.009999998,REGULAR,SPY180921P00140000,USD,1537488000,0.49805189453125004,False,0.05,1528899707,1879,-16.666664,140.0,2
16,0.07,0.06,-0.08,REGULAR,SPY180921P00145000,USD,1537488000,0.48242705078125003,False,0.05,1528899705,1273,-61.538464,145.0,30
17,0.07,0.06,-0.010000002,REGULAR,SPY180921P00150000,USD,1537488000,0.45898978515625005,False,0.06,1529348329,6992,-14.285716,150.0,20
18,0.08,0.06,-0.009999998,REGULAR,SPY180921P00155000,USD,1537488000,0.442388388671875,False,0.07,1529073317,4045,-12.499998,155.0,10
19,0.09,0.07,-0.010000005,REGULAR,SPY180921P00160000,USD,1537488000,0.42578699218750005,False,0.08,1529330980,1099,-11.111116,160.0,10
20,0.1,0.09,0.010000005,REGULAR,SPY180921P00165000,USD,1537488000,0.40820904296875,False,0.09,1529092219,3678,12.500008,165.0,12
21,0.1,0.09,0.009999998,REGULAR,SPY180921P00170000,USD,1537488000,0.38672488281249995,False,0.11,1529086627,26470,9.999998,170.0,22
22,0.12,0.11,-0.009999998,REGULAR,SPY180921P00175000,USD,1537488000,0.37354142089843745,False,0.11,1529336206,11405,-8.333332,175.0,15
23,0.13,0.12,0.009999998,REGULAR,SPY180921P00180000,USD,1537488000,0.35596347167968745,False,0.13,1529333044,17363,8.333332,180.0,30
24,0.15,0.14,-0.010000005,REGULAR,SPY180921P00185000,USD,1537488000,0.3413151806640625,False,0.16,1529344863,3637,-5.882356,185.0,34
25,0.18,0.17,0.00999999,REGULAR,SPY180921P00190000,USD,1537488000,0.32910827148437494,False,0.19,1529331035,5726,5.55555,190.0,10
26,0.21,0.2,0.0,REGULAR,SPY180921P00195000,USD,1537488000,0.3149482568359374,False,0.22,1529073405,7036,0.0,195.0,11
27,0.21,0.2,0.010000005,REGULAR,SPY180921P00196000,USD,1537488000,0.3110420458984374,False,0.23,1529073415,559,4.545457,196.0,10
28,0.25,0.24,0.040000007,REGULAR,SPY180921P00197000,USD,1537488000,0.3149482568359374,False,0.27,1529417399,410,17.391306,197.0,10
29,0.26,0.25,0.030000001,REGULAR,SPY180921P00198000,USD,1537488000,0.31250687499999996,False,0.28,1529417407,339,12.0,198.0,10
30,0.27,0.26,0.030000001,REGULAR,SPY180921P00199000,USD,1537488000,0.3100654931640625,False,0.29,1529417414,439,11.538463,199.0,10
31,0.24,0.23,-0.010000005,REGULAR,SPY180921P00200000,USD,1537488000,0.30054410400390624,False,0.24,1529350178,21903,-4.000002,200.0,166
32,0.3,0.28,-0.050000012,REGULAR,SPY180921P00201000,USD,1537488000,0.30664755859375,False,0.31,1528473836,1533,-13.888891,201.0,15
33,0.3,0.29,0.0,REGULAR,SPY180921P00202000,USD,1537488000,0.30249720947265624,False,0.26,1529350501,1463,0.0,202.0,11
34,0.32,0.3,-0.00999999,REGULAR,SPY180921P00203000,USD,1537488000,0.3012765185546875,False,0.33,1528473836,1932,-2.9411738,203.0,15
35,0.33,0.32,0.0,REGULAR,SPY180921P00204000,USD,1537488000,0.2985909985351562,False,0.34,1528473836,2129,0.0,204.0,15
36,0.28,0.27,0.02000001,REGULAR,SPY180921P00205000,USD,1537488000,0.2868723657226562,False,0.31,1529332690,8778,6.8965554,205.0,149
37,0.34,0.33,0.04000002,REGULAR,SPY180921P00206000,USD,1537488000,0.2915109912109374,False,0.36,1529429450,240,12.500008,206.0,5
38,0.35,0.34,0.0,REGULAR,SPY180921P00207000,USD,1537488000,0.28882547119140617,False,0.33,1529332697,815,0.0,207.0,2
39,0.36,0.35,0.0,REGULAR,SPY180921P00208000,USD,1537488000,0.2858958129882812,False,0.34,1529332698,145,0.0,208.0,2
40,0.38,0.37,0.0,REGULAR,SPY180921P00209000,USD,1537488000,0.2841868457031249,False,0.36,1529331715,911,0.0,209.0,1
41,0.33,0.32,0.02000001,REGULAR,SPY180921P00210000,USD,1537488000,0.273444765625,False,0.36,1529339584,64450,5.882356,210.0,215
42,0.34,0.33,-0.00999999,REGULAR,SPY180921P00211000,USD,1537488000,0.27075924560546877,False,0.36,1529336090,5775,-2.7027001,211.0,115
43,0.36,0.34,0.00999999,REGULAR,SPY180921P00212000,USD,1537488000,0.26929441650390623,False,0.38,1529336440,17336,2.7027001,212.0,96
44,0.37,0.36,0.030000001,REGULAR,SPY180921P00213000,USD,1537488000,0.26636475830078127,False,0.4,1529333576,3026,8.1081085,213.0,183
45,0.38,0.37,0.030000001,REGULAR,SPY180921P00214000,USD,1537488000,0.26343510009765625,False,0.41,1529336491,4800,7.8947372,214.0,3
46,0.4,0.38,0.0,REGULAR,SPY180921P00215000,USD,1537488000,0.26148199462890626,False,0.4,1529347495,15639,0.0,215.0,15
47,0.41,0.4,0.01000002,REGULAR,SPY180921P00216000,USD,1537488000,0.2585523364257813,False,0.43,1529335990,2756,2.3809574,216.0,3
48,0.43,0.41,0.0,REGULAR,SPY180921P00217000,USD,1537488000,0.2563550927734375,False,0.47,1529339761,11733,0.0,217.0,7
49,0.44,0.43,0.03999999,REGULAR,SPY180921P00218000,USD,1537488000,0.2534254345703125,False,0.5,1529331638,2420,8.69565,218.0,1
50,0.46,0.45,0.059999973,REGULAR,SPY180921P00219000,USD,1537488000,0.2512281909179687,False,0.52,1529331730,3194,13.043472,219.0,1
51,0.48,0.46,-0.00999999,REGULAR,SPY180921P00220000,USD,1537488000,0.24890887817382812,False,0.47,1529351474,50041,-2.0833313,220.0,99
52,0.58,0.57,0.04000002,REGULAR,SPY180921P00221000,USD,1537488000,0.2536695727539063,False,0.56,1529423729,2768,7.6923122,221.0,1
53,0.6,0.59,0.03999996,REGULAR,SPY180921P00222000,USD,1537488000,0.25098405273437496,False,0.58,1529423929,3450,7.4074,222.0,1
54,0.62,0.61,0.060000002,REGULAR,SPY180921P00223000,USD,1537488000,0.24829853271484376,False,0.62,1529422449,5676,10.714286,223.0,401
55,0.56,0.55,0.0,REGULAR,SPY180921P00224000,USD,1537488000,0.2391433508300781,False,0.55,1529004904,1445,0.0,224.0,303
56,0.57,0.56,0.02000004,REGULAR,SPY180921P00225000,USD,1537488000,0.2356033471679687,False,0.61,1529348390,17679,3.3898375,225.0,120
57,0.59,0.58,-0.00999999,REGULAR,SPY180921P00226000,USD,1537488000,0.23303989624023438,False,0.62,1529342578,3809,-1.5873001,226.0,5
58,0.62,0.6,0.03999996,REGULAR,SPY180921P00227000,USD,1537488000,0.2310867907714844,False,0.71,1529330460,3534,5.9701433,227.0,1
59,0.64,0.62,0.01999998,REGULAR,SPY180921P00228000,USD,1537488000,0.22827920166015625,False,0.69,1529348149,3893,2.9850717,228.0,3075
60,0.66,0.64,0.030000031,REGULAR,SPY180921P00229000,USD,1537488000,0.22534954345703123,False,0.72,1529336439,1919,4.347831,229.0,8
61,0.69,0.67,-0.029999971,REGULAR,SPY180921P00230000,USD,1537488000,0.22315229980468748,False,0.73,1529348276,31877,-3.9473646,230.0,42
62,0.72,0.7,0.00999999,REGULAR,SPY180921P00231000,USD,1537488000,0.22083298706054685,False,0.78,1529336607,3772,1.2987001,231.0,3
63,0.74,0.72,0.050000012,REGULAR,SPY180921P00232000,USD,1537488000,0.21778125976562498,False,0.85,1529331708,10019,6.2500014,232.0,1
64,0.77,0.75,0.06999999,REGULAR,SPY180921P00233000,USD,1537488000,0.21521780883789063,False,0.84,1529333286,3785,9.090909,233.0,2
65,0.8,0.78,0.030000031,REGULAR,SPY180921P00234000,USD,1537488000,0.21265435791015624,False,0.87,1529336130,3569,3.5714324,234.0,6
66,0.84,0.82,0.0,REGULAR,SPY180921P00235000,USD,1537488000,0.21057918334960937,False,0.86,1529350885,97066,0.0,235.0,1957
67,0.87,0.85,-0.029999971,REGULAR,SPY180921P00236000,USD,1537488000,0.20777159423828123,False,0.87,1529351986,9089,-3.3333302,236.0,7
68,0.91,0.88,0.06999993,REGULAR,SPY180921P00237000,USD,1537488000,0.20557435058593748,False,1.04,1529332326,5971,7.216488,237.0,2
69,0.94,0.92,0.0,REGULAR,SPY180921P00238000,USD,1537488000,0.20264469238281246,False,1.02,1529336148,15087,0.0,238.0,12
70,0.98,0.96,0.029999971,REGULAR,SPY180921P00239000,USD,1537488000,0.2000812414550781,False,1.05,1529336087,9053,2.9411738,239.0,10
71,1.03,1.0,0.0,REGULAR,SPY180921P00240000,USD,1537488000,0.19800606689453126,False,1.01,1529352513,116366,0.0,240.0,982
72,1.07,1.04,-0.00999999,REGULAR,SPY180921P00241000,USD,1537488000,0.195320546875,False,1.13,1529341283,5895,-0.87719214,241.0,4
73,1.11,1.09,-0.06999993,REGULAR,SPY180921P00242000,USD,1537488000,0.1925739923095703,False,1.1,1529351591,10184,-5.9829006,242.0,17
74,1.16,1.13,-0.01999998,REGULAR,SPY180921P00243000,USD,1537488000,0.19013261047363283,False,1.23,1529335930,15113,-1.5999984,243.0,2
75,1.21,1.18,0.00999999,REGULAR,SPY180921P00244000,USD,1537488000,0.18763019409179688,False,1.28,1529341309,12035,0.78740084,244.0,54
76,1.26,1.24,0.05000007,REGULAR,SPY180921P00245000,USD,1537488000,0.18494467407226559,False,1.33,1529341655,32200,3.9062555,245.0,82
77,1.32,1.29,-0.029999971,REGULAR,SPY180921P00246000,USD,1537488000,0.18256432678222656,False,1.38,1529348280,7335,-2.1276577,246.0,96
78,1.37,1.35,-0.029999971,REGULAR,SPY180921P00247000,USD,1537488000,0.179695703125,False,1.45,1529342579,10330,-2.027025,247.0,25
79,1.43,1.41,0.00999999,REGULAR,SPY180921P00248000,USD,1537488000,0.1771322521972656,False,1.51,1529342070,7576,0.66666603,248.0,167
80,1.5,1.47,0.00999999,REGULAR,SPY180921P00249000,USD,1537488000,0.17475190490722659,False,1.53,1529350672,8858,0.65789413,249.0,16
81,1.57,1.54,-0.00999999,REGULAR,SPY180921P00250000,USD,1537488000,0.17224948852539065,False,1.57,1529351591,58036,-0.6329107,250.0,816
82,1.64,1.61,0.029999971,REGULAR,SPY180921P00251000,USD,1537488000,0.1695639685058594,False,1.67,1529350201,53685,1.8292665,251.0,67
83,1.71,1.68,0.07999992,REGULAR,SPY180921P00252000,USD,1537488000,0.16681741394042973,False,1.8,1529348355,15134,4.6511583,252.0,1771
84,1.79,1.76,0.09000003,REGULAR,SPY180921P00253000,USD,1537488000,0.16425396301269532,False,1.89,1529341607,8031,5.000002,253.0,84
85,1.87,1.84,0.120000005,REGULAR,SPY180921P00254000,USD,1537488000,0.1615074084472656,False,1.98,1529341612,9614,6.4516134,254.0,4
86,1.96,1.93,0.0,REGULAR,SPY180921P00255000,USD,1537488000,0.15894395751953128,False,1.96,1529352528,73498,0.0,255.0,239
87,2.06,2.03,-0.17000008,REGULAR,SPY180921P00256000,USD,1537488000,0.15650257568359377,False,2.04,1529352218,7357,-7.692311,256.0,28
88,2.16,2.12,-0.14999986,REGULAR,SPY180921P00257000,USD,1537488000,0.15387809020996096,False,2.17,1529351211,4688,-6.465511,257.0,1024
89,2.26,2.23,0.06999993,REGULAR,SPY180921P00258000,USD,1537488000,0.15107050109863285,False,2.36,1529344338,16830,3.0567658,258.0,593
90,2.38,2.34,0.01999998,REGULAR,SPY180921P00259000,USD,1537488000,0.14862911926269531,False,2.41,1529350260,7087,0.83681923,259.0,1372
91,2.49,2.45,-0.03999996,REGULAR,SPY180921P00260000,USD,1537488000,0.1457299783325195,False,2.47,1529352209,50958,-1.5936241,260.0,532
92,2.62,2.58,0.109999895,REGULAR,SPY180921P00261000,USD,1537488000,0.14313601013183597,False,2.74,1529348768,5584,4.182505,261.0,44
93,2.75,2.71,-0.059999943,REGULAR,SPY180921P00262000,USD,1537488000,0.14035893829345703,False,2.8,1529350443,6631,-2.0979002,262.0,4280
94,2.89,2.85,-0.00999999,REGULAR,SPY180921P00263000,USD,1537488000,0.13758186645507814,False,2.9,1529351266,10345,-0.34364226,263.0,50
95,3.04,3.0,0.029999971,REGULAR,SPY180921P00264000,USD,1537488000,0.13483531188964848,False,3.03,1529352540,11973,0.99999905,264.0,468
96,3.2,3.17,-0.049999952,REGULAR,SPY180921P00265000,USD,1537488000,0.13208875732421876,False,3.22,1529351971,100351,-1.5290505,265.0,309
97,3.37,3.33,-0.08000016,REGULAR,SPY180921P00266000,USD,1537488000,0.12928116821289062,False,3.35,1529352784,7580,-2.3323662,266.0,141
98,3.55,3.52,-0.049999952,REGULAR,SPY180921P00267000,USD,1537488000,0.12644306182861326,False,3.54,1529351430,51901,-1.3927565,267.0,126
99,3.75,3.71,0.049999952,REGULAR,SPY180921P00268000,USD,1537488000,0.12372702453613281,False,3.81,1529351156,10983,1.329786,268.0,3498
100,3.95,3.91,0.17000008,REGULAR,SPY180921P00269000,USD,1537488000,0.12073633178710938,False,4.11,1529344753,4947,4.314723,269.0,435
101,4.17,4.13,0.029999733,REGULAR,SPY180921P00270000,USD,1537488000,0.11783719085693359,False,4.14,1529352817,55747,0.7299205,270.0,958
