Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN
2015-01-02,52.621213946556,104.28537987877,72.34,52.039225384087,78.509544513194,59.53,63.25,186.6,23.935734191817,150.55730378597
2015-01-05,52.587050665381,101.34749485154,71.98,51.088202449899,78.452988231878,58.66,61.94,182.17,23.168563224131,148.76820579865
2015-01-06,51.772012385927,101.3570334393,70.53,49.893567729612,77.797877973304,57.5,60.67,177.95,22.295906248387,143.97530645366
2015-01-07,51.742729573491,102.77828301415,71.11,50.41827003813,78.481266372536,57.38,60.16,187.93,22.502083445953,149.00361342856
2015-01-08,52.377190509593,106.72725834296,72.915,51.308390025794,80.281641327755,58.8,61.57,183.8,23.221306228159,148.46688403236
2015-01-09,50.776396763121,106.84172139597,71.84,51.270911289472,79.706652467711,58.27,60.78,184.27,23.245280320899,146.64012082425
2015-01-12,48.394728018368,104.20907117676,71.12,50.755578665034,79.315471521944,57.29,60.75,183.36,22.689081369327,147.10151977888
2015-01-13,49.195124891605,105.13431418859,70.59,50.174658252032,79.159941748325,57.34,60.79,179.21,22.372623345156,146.08455881766
2015-01-14,48.228792081234,104.73369350305,69.99,50.13717951571,78.929003599619,56.41,59.71,175.4,22.075344595177,146.10339142805
2015-01-15,48.228792081234,101.89119435334,70.29,49.406344157417,78.896012435518,55.71,58.63,172.87,22.367828526608,143.05250854441
2015-01-16,48.619229580374,101.09949157003,71.73,50.305833829162,79.716078514597,56.85,59.22,180.44,22.506878264501,149.18252322729
2015-01-20,51.488945199051,103.70352602598,71.49,50.961711714809,80.093120390036,57.1,59.65,183.06,22.660312458038,148.40096989599
2015-01-21,52.386951447072,104.49522880929,71.54,51.139735712342,79.706652467711,57.55,60.265,179.26,23.321997417668,148.19381118166
2015-01-22,54.261051442943,107.21372631825,73.48,51.299020341714,81.638992079334,58.27,60.64,180.32,23.60968653055,150.25598201969
2015-01-23,54.358660817727,107.76696440779,74.06,51.074147923778,81.865217204597,58.19,61.02,183.32,23.12061503865,150.4819733444
2015-01-26,54.124398318244,107.8814274608,72.74,51.214693184988,81.60128789179,58.23,61.17,182.76,23.245280320899,150.40664290283
2015-01-27,51.435260042919,104.10414671151,71.46,50.00600393858,80.715239484509,56.15,60.29,180.36,22.602774635462,149.61567326633
2015-01-28,49.409865516132,109.98945535371,70.25,49.58905299699,79.678374327053,54.59,58.99,177.78,22.415776712088,145.61374355784
2015-01-29,50.991137387647,113.41380835622,71.64,49.874828361451,79.508705483106,55.36,59.95,188.05,22.650722820942,147.24276435682
2015-01-30,47.906681144444,111.75409408759,70.13,48.820738902374,77.793164949861,54.005,58.155,183.24,21.902731127448,143.37266292108
2015-02-02,47.555287395218,113.15626648695,71.11,48.998762899907,78.650935216483,54.115,58.49,178.17,21.917115583092,143.5986542458
2015-02-03,46.364453022842,113.17534366245,71.92,50.568184983421,80.253363187097,54.92,60.115,177.51,22.487698990309,143.3444140055
2015-02-04,48.277596768626,114.04335514777,72.28,50.390160985888,81.610713938676,56.44,59.95,178.29,22.650722820942,142.60994220017
2015-02-05,47.740745207309,114.85413510658,73.1,51.486414023327,82.166850704948,56.23,60.49,178.17,22.976770482209,144.40845649269
2015-02-06,47.09031300975,113.88696254982,72.54,51.537947285771,81.478749282273,57.07,61.13,175.63,23.240485502351,142.56286067419
2015-02-09,45.510691958535,114.6434638566,72.33,51.116311502141,81.073429266176,57.34,60.96,171.42,22.545236812885,141.25399425188
2015-02-10,46.997394124385,116.84593601555,72.76,52.039225384087,81.55415765736,58.5,62.21,176.39,23.283638869284,144.40845649269
2015-02-11,46.547471100509,119.58466226538,73.01,52.114182856733,81.836939063939,58.3,63.75,173.5,23.264459595091,144.91956986037
2015-02-12,46.831118224257,121.09766487893,74.59,53.140163263567,82.708848400891,59.07,67.59,176.27,23.149383949938,144.98582529692
2015-02-13,47.32994592464,121.69137476525,76.51,53.45404768027,83.65616611293,60.67,68.77,182.29,23.226101046707,145.26977716785
2015-02-17,46.958270383178,122.40957220839,77.13,55.103112078469,82.110294423632,61.13,70.36,178.97,23.235730441834,145.98912190754
2015-02-18,48.229791972391,123.25704519129,77.73,54.700215663,82.562744674158,61.11,70.29,180.29,23.206842256453,147.44674151165
2015-02-19,48.689495931568,123.00328209472,77.73,54.953197133178,82.694709330562,61.46,71.56,182.28,24.006082052007,147.70229819548
2015-02-20,49.902331908972,124.00397053216,78.55,55.402941969051,83.594896808171,62.37,71.62,186.02,24.19866995455,149.22617323614
2015-02-23,50.185979032719,127.36034658309,78.1,55.262396707841,84.052060082141,61.95,70.24,184.14,23.986823261753,149.94551797583
2015-02-24,50.391378674054,126.56554141268,77.68,55.852686804923,84.136894504114,62.07,70.12,182.29,24.420146042475,148.95168642758
2015-02-25,48.64059125506,123.32886493561,78.07,55.646553755149,83.957799613281,62.01,69.45,184.9,24.169781769169,149.62370585544
2015-02-26,48.268915713598,124.88495939574,78.96,55.542788355707,83.741000534904,61.01,69.555,183.11,23.986823261753,150.46609640587
2015-02-27,46.85068009486,123.01285806063,79.1,55.222058939251,83.741000534904,64.24,69.51,180.37,24.121634793533,149.28296361033
2015-03-02,47.251698442227,123.61614391286,79.79,56.387061378437,85.004090817623,64.0,71.13,184.62,24.680139710908,151.09079052192
2015-03-03,47.701621466103,123.87469499239,78.99,55.410723301872,83.6090358785,62.7,69.86,182.51,23.577573968848,150.07802884893
2015-03-04,47.877678301532,123.0894657879,77.63,55.089993885416,81.606000915233,62.52,71.05,182.53,23.370541973614,150.67432777788
