PERMNO,date,PRC,RETX,sprtrn
86580,20130626,14.14000,-0.005626,0.009590
86580,20130627,14.01000,-0.009194,0.006200
86580,20130628,14.04000,0.002141,-0.004290
86580,20130701,14.10000,0.004274,0.005404
86580,20130702,14.09000,-0.000709,-0.000545
86580,20130703,14.13000,0.002839,0.000824
86580,20130705,14.24000,0.007785,0.010202
86580,20130708,14.16500,-0.005267,0.005252
86580,20130709,14.24100,0.005365,0.007230
86580,20130710,14.43000,0.013272,0.000182
86580,20130711,14.63000,0.013860,0.013554
86580,20130712,14.64000,0.000684,0.003087
86580,20130715,14.61000,-0.002049,0.001375
86580,20130716,14.69000,0.005476,-0.003709
86580,20130717,14.61000,-0.005446,0.002774
86580,20130718,14.55000,-0.004107,0.005033
86580,20130719,14.24000,-0.021306,0.001610
86580,20130722,14.23000,-0.000702,0.002033
86580,20130723,14.21000,-0.001405,-0.001852
86580,20130724,14.21000,0.000000,-0.003811
86580,20130725,14.26000,0.003519,0.002556
86580,20130726,14.20000,-0.004208,0.000828
86580,20130729,14.17000,-0.002113,-0.003736
86580,20130730,14.41000,0.016937,0.000374
86580,20130731,14.43500,0.001735,-0.000136
86580,20130801,14.64000,0.014202,0.012541
86580,20130802,14.76000,0.008197,0.001640
86580,20130805,14.83000,0.004743,-0.001480
86580,20130806,14.61000,-0.014835,-0.005723
86580,20130807,14.60000,-0.000684,-0.003806
86580,20130808,14.69900,0.006781,0.003885
86580,20130809,14.49000,-0.014219,-0.003570
86580,20130812,14.37000,-0.008282,-0.001153
86580,20130813,14.42000,0.003479,0.002776
86580,20130814,15.03000,0.042302,-0.005177
86580,20130815,15.12500,0.006321,-0.014282
86580,20130816,15.18900,0.004231,-0.003305
86580,20130819,14.95000,-0.015735,-0.005900
86580,20130820,14.95000,0.000000,0.003821
86580,20130821,14.88000,-0.004682,-0.005780
86580,20130822,14.96000,0.005376,0.008619
86580,20130823,14.96000,0.000000,0.003947
86580,20130826,14.99500,0.002340,-0.004040
86580,20130827,14.80500,-0.012671,-0.015874
86580,20130828,14.80000,-0.000338,0.002748
86580,20130829,14.77000,-0.002027,0.001963
86580,20130830,14.75000,-0.001354,-0.003174
86580,20130903,14.76000,0.000678,0.004164
86580,20130904,14.90000,0.009485,0.008117
86580,20130905,14.94000,0.002685,0.001210
86580,20130906,14.88000,-0.004016,0.000054
86580,20130909,15.12500,0.016465,0.009993
86580,20130910,15.45000,0.021488,0.007346
86580,20130911,15.71000,0.016828,0.003052
86580,20130912,15.70000,-0.000637,-0.003380
86580,20130913,15.80000,0.006369,0.002715
86580,20130916,15.81000,0.000633,0.005693
86580,20130917,15.86000,0.003163,0.004218
86580,20130918,15.99900,0.008764,0.012178
86580,20130919,15.92500,-0.004625,-0.001843
86580,20130920,15.79500,-0.008163,-0.007217
86580,20130923,15.64000,-0.009813,-0.004720
86580,20130924,15.70000,0.003836,-0.002597
86580,20130925,15.72500,0.001592,-0.002739
86580,20130926,15.67000,-0.003498,0.003485
86580,20130927,15.58000,-0.005743,-0.004074
86580,20130930,15.56000,-0.001284,-0.006029
86580,20131001,15.55000,-0.000643,0.007999
