PERMNO,date,PRC,RETX,sprtrn
86580,20150722,19.40500,-0.019454,-0.002388
86580,20150723,19.65000,0.012626,-0.005676
86580,20150724,19.42000,-0.011705,-0.010703
86580,20150727,19.31000,-0.005664,-0.005775
86580,20150728,19.73000,0.021750,0.012386
86580,20150729,19.97000,0.012164,0.007319
86580,20150730,20.02000,0.002504,0.000028
86580,20150731,19.95000,-0.003496,-0.002272
86580,20150803,20.29000,0.017043,-0.002757
86580,20150804,20.37000,0.003943,-0.002250
86580,20150805,20.58000,0.010309,0.003115
86580,20150806,20.45000,-0.006317,-0.007753
86580,20150807,22.98000,0.123716,-0.002875
86580,20150810,23.78000,0.034813,0.012808
86580,20150811,23.66000,-0.005046,-0.009557
86580,20150812,23.72000,0.002536,0.000950
86580,20150813,23.52000,-0.008432,-0.001275
86580,20150814,23.54000,0.000850,0.003912
86580,20150817,23.39000,-0.006372,0.005211
86580,20150818,23.08000,-0.013254,-0.002626
86580,20150819,22.99000,-0.003899,-0.008255
86580,20150820,22.16000,-0.036103,-0.021100
86580,20150821,21.47000,-0.031137,-0.031851
86580,20150824,20.71000,-0.035398,-0.039414
86580,20150825,20.28000,-0.020763,-0.013522
86580,20150826,21.81000,0.075444,0.039034
86580,20150827,22.63000,0.037597,0.024298
86580,20150828,22.73000,0.004419,0.000609
86580,20150831,22.48000,-0.010999,-0.008392
86580,20150901,21.56000,-0.040925,-0.029576
86580,20150902,22.21000,0.030148,0.018293
86580,20150903,22.27000,0.002702,0.001165
86580,20150904,21.75000,-0.023350,-0.015330
86580,20150908,22.68000,0.042759,0.025083
86580,20150909,22.23000,-0.019841,-0.013898
86580,20150910,22.58000,0.015745,0.005278
86580,20150911,22.65000,0.003100,0.004487
86580,20150914,22.69000,0.001766,-0.004090
86580,20150915,22.94000,0.011018,0.012831
86580,20150916,23.10000,0.006975,0.008705
86580,20150917,23.31000,0.009091,-0.002561
86580,20150918,23.29000,-0.000858,-0.016164
86580,20150921,23.53000,0.010305,0.004566
86580,20150922,22.89000,-0.027199,-0.012318
86580,20150923,23.00000,0.004806,-0.002049
86580,20150924,23.44000,0.019130,-0.003363
86580,20150925,23.61000,0.007253,-0.000466
86580,20150928,23.30000,-0.013130,-0.025666
86580,20150929,23.71000,0.017597,0.001233
86580,20150930,24.65000,0.039646,0.019076
86580,20151001,24.17000,-0.019473,0.001974
86580,20151002,24.80000,0.026065,0.014315
86580,20151005,25.42000,0.025000,0.018290
86580,20151006,25.75000,0.012982,-0.003588
86580,20151007,26.02000,0.010485,0.008036
86580,20151008,26.17000,0.005765,0.008818
86580,20151009,26.07000,-0.003821,0.000725
86580,20151012,26.35000,0.010740,0.001276
86580,20151013,26.40000,0.001898,-0.006825
86580,20151014,27.36000,0.036364,-0.004716
