,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,181.64,181.28,1.0,REGULAR,SPY181019C00100000,USD,1539907200,0.8955088574218748,True,181.72,1532721599,1070,0.55334216,100.0,98
1,176.79,176.18,6.7400055,REGULAR,SPY181019C00105000,USD,1539907200,0.6953155468750001,True,176.74,1532721599,33,3.964709,105.0,48
2,171.8,171.17,6.699997,REGULAR,SPY181019C00110000,USD,1539907200,0.6601596484375001,True,171.76,1532721599,19,4.0591283,110.0,48
3,166.2,163.0,162.97,REGULAR,SPY181019C00115000,USD,1539907200,1.0000000000000003e-05,True,162.97,1531161122,102,100.0,115.0,2
4,161.23,158.01,152.33,REGULAR,SPY181019C00120000,USD,1539907200,1.0000000000000003e-05,True,152.33,1529937734,82,100.0,120.0,2
5,156.74,156.39,0.29000854,REGULAR,SPY181019C00125000,USD,1539907200,0.6679720703125002,True,156.82,1532721599,698,0.18527345,125.0,48
6,151.28,148.06,145.23,REGULAR,SPY181019C00130000,USD,1539907200,1.0000000000000003e-05,True,145.23,1529601518,83,100.0,130.0,2
7,146.3,143.01,138.15,REGULAR,SPY181019C00135000,USD,1539907200,1.0000000000000003e-05,True,138.15,1530114090,96,100.0,135.0,2
8,140.59,139.35,0.0,REGULAR,SPY181019C00140000,USD,1539907200,1.0000000000000003e-05,True,139.85,1531838447,399,0.0,140.0,2
9,136.35,133.06,130.29,REGULAR,SPY181019C00145000,USD,1539907200,1.0000000000000003e-05,True,130.29,1529599528,68,100.0,145.0,82
10,131.38,128.1,121.72,REGULAR,SPY181019C00150000,USD,1539907200,1.0000000000000003e-05,True,121.72,1530122817,115,100.0,150.0,4
11,126.98,126.33,0.0,REGULAR,SPY181019C00155000,USD,1539907200,0.5419967675781252,True,125.54,1532366586,640,0.0,155.0,2
12,119.87,119.35,116.26,REGULAR,SPY181019C00160000,USD,1539907200,1.0000000000000003e-05,True,116.26,1529686431,42,100.0,160.0,2
13,114.89,114.39,110.44,REGULAR,SPY181019C00165000,USD,1539907200,1.0000000000000003e-05,True,110.44,1529599670,41,100.0,165.0,39
14,109.91,109.43,106.77,REGULAR,SPY181019C00170000,USD,1539907200,1.0000000000000003e-05,True,106.77,1529505057,2,100.0,170.0,2
15,104.93,104.47,97.54,REGULAR,SPY181019C00175000,USD,1539907200,1.0000000000000003e-05,True,97.54,1530800329,11,100.0,175.0,2
16,99.95,99.52,98.24,REGULAR,SPY181019C00180000,USD,1539907200,1.0000000000000003e-05,True,98.24,1531157710,87,100.0,180.0,87
17,94.98,94.57,94.66,REGULAR,SPY181019C00185000,USD,1539907200,1.0000000000000003e-05,True,94.66,1531420853,188,100.0,185.0,2
18,90.01,89.63,86.03,REGULAR,SPY181019C00190000,USD,1539907200,1.0000000000000003e-05,True,86.03,1529603727,3,100.0,190.0,2
