PE_growth_PL,contrarian_DD,growth_value_JO,growth_value_MZ,momentum_strategy_V,price_sale_KF,small_cap_growth_MF,symbol,value_BG
0,21,25,15,57,0,21,adsk,14
,,,,,,,goog,
0,50,40,62,71,40,48,adbe,29
0,50,40,69,71,10,61,adi,57
0,36,60,54,89,40,45,amzn,29
0,57,80,69,50,30,21,googl,57
0,29,25,8,50,20,1,bmrn,57
0,43,40,54,7,30,19,alxn,43
0,29,40,38,36,30,19,ca,29
74,64,60,77,89,20,68,amat,43
0,57,40,62,71,30,25,adp,57
72,43,60,69,71,20,21,amgn,71
0,50,80,62,36,10,52,aapl,29
0,43,100,31,29,10,28,csco,57
0,43,40,38,57,30,48,chtr,29
0,36,40,46,36,20,41,avgo,29
0,50,40,46,43,38,19,ctsh,57
0,43,60,62,71,10,61,atvi,29
0,76,50,54,0,50,12,bbby,86
0,43,40,69,57,30,19,cern,43
0,69,60,38,36,50,15,aal,43
0,50,80,54,71,38,25,cmcsa,43
0,57,40,69,71,20,55,ctxs,29
0,57,50,77,50,50,19,dltr,43
0,64,40,69,71,38,25,disca,43
0,21,50,15,0,50,8,endp,29
0,57,50,77,71,30,35,chkp,43
74,50,40,23,50,40,61,ea,29
0,57,40,54,50,38,25,dish,43
0,36,25,38,43,20,8,ctrp,29
0,29,60,38,36,40,12,cost,43
0,43,60,62,50,20,52,csx,43
,,,,,,,disck,
56,69,60,46,0,28,28,gild,71
0,50,25,23,36,10,48,incy,57
93,76,60,62,71,40,61,ebay,43
0,29,40,46,7,38,15,expe,43
0,50,100,54,36,58,15,intc,29
74,76,75,77,14,60,32,esrx,43
0,57,60,38,29,10,15,celg,57
0,50,50,62,71,20,19,fisv,29
0,50,75,69,64,30,12,hsic,57
0,43,50,31,0,50,12,qvca,43
,,,,,,,lbtyk,
0,21,60,23,43,40,15,jd,29
,,,,,,,lmca,
93,57,40,69,89,40,68,lrcx,57
0,43,40,46,50,10,19,intu,29
56,57,40,62,71,40,65,lvnta,29
,,,,,,,lltc,
0,21,25,23,57,20,33,batra,14
0,57,60,38,29,38,21,lbtya,29
0,50,40,69,43,40,12,fast,71
,,,,,,,lmck,
0,36,40,46,43,48,52,mar,43
19,36,60,54,50,18,41,mu,14
0,57,40,69,71,10,15,mxim,43
0,43,40,69,14,18,15,myl,29
0,50,50,85,50,60,39,mnst,71
0,57,80,62,64,10,21,msft,57
69,50,40,46,71,20,25,ilmn,57
0,50,40,62,71,30,28,nflx,43
,,,,,,,,
0,50,40,38,0,28,12,mat,29
37,64,60,92,89,40,35,fb,43
0,50,40,85,71,30,39,isrg,71
0,43,40,69,50,38,52,ntap,43
0,57,60,62,57,40,35,pypl,29
0,57,40,62,29,30,32,regn,57
74,36,40,62,71,48,28,nclh,29
69,64,60,77,43,20,61,nvda,43
,,,,,,,batrk,
0,43,60,38,0,30,21,qcom,29
0,64,50,69,71,50,55,stx,29
93,57,50,62,50,40,68,swks,57
0,43,50,62,36,58,32,rost,57
69,43,50,69,64,48,25,orly,43
0,29,40,31,50,30,15,sbac,29
0,29,50,46,7,20,12,pcar,57
0,43,60,77,71,30,32,khc,29
,,,,,,,200.76.187.247,
0,43,40,23,29,0,41,symc,14
0,29,40,62,71,30,55,siri,29
0,43,50,69,50,50,32,payx,57
56,64,100,69,89,50,52,tmus,29
0,21,40,46,7,38,15,mdlz,43
56,64,50,92,71,60,59,ulta,71
0,43,40,31,36,20,15,nxpi,29
0,43,40,38,0,38,12,srcl,43
0,21,25,0,64,20,15,tsla,29
0,57,60,54,64,38,21,foxa,57
0,64,60,69,71,40,59,txn,57
0,36,25,23,50,0,35,vrtx,57
0,50,75,69,7,80,12,tsco,57
0,64,40,62,71,30,48,pcln,43
0,43,25,38,0,50,21,trip,71
,,,,,,,fox,
0,50,40,69,7,40,32,vrsk,29
0,43,60,54,50,40,25,sbux,43
