,PBSM,PusOption,pStrike
92,1.8036383961324118,1.8093177220107428,45.0
93,1.7202920264123225,1.7256074327499409,47.5
94,1.641280662988608,1.6462934161962577,50.0
95,1.4945702833971917,1.4991673509931118,55.0
96,1.3606786826368986,1.365120675300622,60.0
97,1.237465671372549,1.2420213963282387,65.0
98,1.1232713033619233,1.128217865147201,70.0
99,1.016780266592484,1.0221652866238635,75.0
100,0.9169302946938112,0.9207511428915907,80.0
101,0.8692168199360683,0.8724186773233179,82.5
102,0.8228482701712292,0.8255411751800967,85.0
103,0.777737527616885,0.780032989295542,87.5
104,0.7338042203948889,0.7358156585465041,90.0
105,0.690973854231398,0.692817089766334,92.5
106,0.6825339456683079,0.6843576885197611,93.0
107,0.6657759878339821,0.667575099036967,94.0
108,0.649177035339826,0.6509708417558236,95.0
109,0.632733008464109,0.6345410784841644,96.0
110,0.6164399229676963,0.6182820848457217,97.0
111,0.6083487626724566,0.6102154925629822,97.5
112,0.6002938836076849,0.6021902448920518,98.0
113,0.5922748117228036,0.5942059059259029,98.5
114,0.5842910777314193,0.5862620458944828,99.0
115,0.5763422169129033,0.5783582410064667,99.5
116,0.568427768913696,0.5704940732989195,100.0
117,0.5527002905976276,0.5548830058051565,101.0
118,0.5371050396963067,0.5394256105524802,102.0
119,0.5216384701085833,0.5241187383766399,103.0
120,0.5062970860969891,0.5087500782535569,104.0
121,0.4910774354695167,0.4932360519695758,105.0
122,0.5075585491960465,0.5086338735645185,106.0
123,0.4917155961799677,0.4927063371556739,107.0
124,0.47598810595326335,0.4769261339308801,108.0
125,0.4603724460830427,0.461290350474176,109.0
126,0.4448649806790446,0.4457961316139881,110.0
127,0.42946205912961166,0.4304406748874288,111.0
128,0.4141600036577863,0.415221224587347,112.0
129,0.3989550954580684,0.4001350652760251,113.0
130,0.3590206573557119,0.3598670634046587,114.0
131,0.3448323679581462,0.34569455301565855,115.0
132,0.36948091434375013,0.3704935660565047,116.0
133,0.36582546961423545,0.3663181128727539,117.0
134,0.35007961786762853,0.3505667426183255,118.0
135,0.3344062496763499,0.3349444958185625,119.0
136,0.30831586024761876,0.3090535662943621,120.0
137,0.31167461916778516,0.31210598310469817,121.0
138,0.2958368157497847,0.29616551103793404,122.0
139,0.28004706859230005,0.2803491882148933,123.0
140,0.2764443928154253,0.2767015810183002,124.0
141,0.26015437478883974,0.26036039552414525,125.0
142,0.2529555654595185,0.25330402583204953,126.0
143,0.23622225336614244,0.23639198374261416,127.0
144,0.22652247656383365,0.2271692953391188,128.0
145,0.2152683394302252,0.21533980422501736,129.0
146,0.2051257531981038,0.20527448328961598,130.0
147,0.19320502038402593,0.19352237280756152,131.0
148,0.1831271684713619,0.18319347949718265,132.0
149,0.17342791476229297,0.17341714722541202,133.0
150,0.16526355842277543,0.1653149001155112,134.0
151,0.15680666617111869,0.15708673242836038,135.0
152,0.15185926469419303,0.15172654096919647,136.0
153,0.1472581824201971,0.14736557890126817,137.0
154,0.14332679857882688,0.1432691629266115,138.0
155,0.14026369089021776,0.14009672642362106,139.0
156,0.13770413047937577,0.13754295347995465,140.0
157,0.1365344442380843,0.13642552149486956,141.0
158,0.1347433417917246,0.13469986803191294,142.0
159,0.1333884545683034,0.13341770518715423,143.0
160,0.13292966028934103,0.1330830883053972,144.0
161,0.13131735555978735,0.13151299888661644,145.0
162,0.1222411029339522,0.12238603909963901,146.0
163,,,147.0
164,,,148.0
165,,,149.0
166,,,150.0
167,,,152.5
168,,,155.0
169,,,157.5
170,,,160.0
171,,,165.0
172,,,170.0
173,,,175.0
174,,,180.0
175,,,185.0
176,,,190.0
177,,,195.0
178,,,200.0
179,,,205.0
180,,,210.0
181,,,220.0
182,,,230.0
183,,,240.0
